area,code
ciência,004
tecnologia,004
informáticas.,004
computação.,004
processamento,004
dados,004
subdivisões,004.01.08
auxiliares,004.01.08
especiais,004.01.08
computação,004.01.08
documentação,004.01
métodos,004.02
resolução,004.02
problemas,004.02
tipos,004.03
características,004.03
sistemas,004.03
orientação,004.04
processamento,004.04
qualidade,004.05
sistemas,004.05
software,004.05
características,004.07
memória,004.07
dispositivos,004.08
entrada,004.08
"(input),",004.08
saída,004.08
(output),004.08
armazenamento,004.08
arquitectura,004.2
computadores,004.2
representação,004.22
dados,004.22
arquitectura,004.23
conjunto,004.23
instruções,004.23
sistemas,004.25
memória,004.25
arquitecturas,004.27
avançadas.,004.27
outras,004.27
arquitecturas,004.27
von,004.27
neumann,004.27
equipamento,004.3
informático.,004.3
hardware,004.3
subdivisões,004.312
auxiliares,004.312
especiais,004.312
hardware,004.312
produção,004.31
computadores,004.31
instalações,004.32
computadores,004.32
unidades,004.31
processamento.,004.31
circuitos,004.31
processamento,004.31
circuitos,004.32
computador,004.32
unidades,004.33
memória.,004.33
unidades,004.33
armazenamento,004.33
periféricos.,004.35
unidades,004.35
entrada,004.35
saída,004.35
(input-output),004.35
computador.,004.38
tipos,004.38
computador,004.38
programas,004.4
computador,004.4
(software),004.4
subdivisões,004.426
auxiliares,004.426
especiais,004.426
software,004.426
ferramentas,004.42
desenvolvimento,004.42
software,004.42
tradução,004.44
linguagem,004.44
programação,004.44
ambiente,004.46
tempo,004.46
execução,004.46
engenharia,004.41
software,004.41
programação,004.42
computadores.,004.42
programas,004.42
computador,004.42
linguagens,004.43
computador,004.43
programas,004.45
sistemas,004.45
infecções,004.49
computador,004.49
interacção,004.5
homem-computador.,004.5
interface,004.5
homem-máquina.,004.5
interface,004.5
utilizador.,004.5
ambiente,004.5
utilizador,004.5
interface,004.51
exibição,004.51
interface,004.52
som,004.52
hipermédia.,004.55
hipertexto,004.55
ajuda,004.58
utilizador,004.58
dados,004.6
tratamento,004.62
dados,004.62
ficheiros,004.63
bases,004.65
dados,004.65
estruturas,004.65
sistemas,004.67
dados,004.67
numéricos,004.67
comunicação,004.7
computadores.,004.7
redes,004.7
computadores,004.7
equipamento,004.71
comunicação,004.71
computadores.,004.71
arquitectura,004.72
redes,004.72
redes,004.73
acordo,004.73
área,004.73
coberta,004.73
interconexão,004.738
redes,004.738
sistemas,004.75
processamento,004.75
distribuído,004.75
aplicações,004.77
serviços,004.77
gerais,004.77
rede,004.77
sistemas,004.78
computadores,004.78
linha,004.78
fins,004.78
específicos,004.78
inteligência,004.8
artificial,004.8
técnicas,004.9
baseadas,004.9
computadores,004.9
orientadas,004.9
aplicações,004.9
processamento,004.91
produção,004.91
documento,004.91
infografia.,004.92
computação,004.92
gráfica,004.92
processamento,004.93
padrões,004.93
informação,004.93
simulação,004.94
